tbl,id,country,state_province,county,latitude,longitude
vfoi,61946594,Brazil,Mato Grosso,NA,9999,9999
vfoi,61947879,Brazil,Minas Gerais,Ouro Branco,9999,9999
vfoi,61948629,Brazil,Espirito Santo,Castelo,9999,9999
vfoi,61956033,Brazil,Mato Grosso,NA,9999,9999
vfoi,61959365,Brazil,Mato Grosso,NA,9999,9999
vfoi,61959931,Brazil,Espirito Santo,Cariacica,9999,9999
vfoi,61960220,Brazil,Mato Grosso,NA,9999,9999
vfoi,61963012,Brazil,Mato Grosso,NA,9999,9999
vfoi,61969710,Brazil,Espirito Santo,Santa Teresa,9999,9999
vfoi,61975210,Brazil,Mato Grosso,NA,9999,9999
vfoi,61975757,Brazil,Sao Paulo,Cananeia,-1.00E+11,-173.156
vfoi,61979419,Bolivia,La Paz,NA,999.9,999.9
vfoi,61979480,Brazil,Espirito Santo,Afonso Claudio,9999,9999
vfoi,61986515,Brazil,Mato Grosso,NA,9999,9999
vfoi,61986775,Brazil,Espirito Santo,Anchieta,9999,9999
vfoi,61987920,Brazil,Mato Grosso,NA,9999,9999
vfoi,61997984,Brazil,Rio Grande do Norte,NA,9999,9999
vfoi,61998480,Brazil,Espirito Santo,Santa Teresa,9999,9999
vfoi,62002208,Brazil,Mato Grosso,NA,9999,9999
vfoi,62002327,Brazil,Mato Grosso,NA,9999,9999
vfoi,62008418,Brazil,Mato Grosso,NA,9999,9999
vfoi,62009171,Brazil,Mato Grosso,NA,9999,9999
vfoi,62013256,Brazil,Mato Grosso,NA,9999,9999
vfoi,62019876,Brazil,Espirito Santo,Castelo,9999,9999
vfoi,62021189,Brazil,Mato Grosso,NA,9999,9999
vfoi,62027095,Brazil,Mato Grosso,NA,9999,9999
vfoi,62043086,Brazil,Mato Grosso,NA,9999,9999
vfoi,62043449,Brazil,Espirito Santo,Santa Teresa,9999,9999
vfoi,62050094,Brazil,Bahia,Cachoeira,-12,-3905
vfoi,62051903,Brazil,Pernambuco,Igarassu,-748.3666667,-36.43333333
vfoi,62058758,Brazil,Bahia,Boa Nova,999.9,999.9
vfoi,62059984,Brazil,Mato Grosso,NA,9999,9999
vfoi,62064426,Brazil,Espirito Santo,Cariacica,9999,9999
vfoi,62065280,Brazil,Mato Grosso,NA,9999,9999
vfoi,62068356,Brazil,Mato Grosso,NA,9999,9999
vfoi,62068617,Brazil,Mato Grosso,NA,9999,9999
vfoi,62071397,Brazil,Mato Grosso,NA,9999,9999
vfoi,62078480,Brazil,Mato Grosso,NA,9999,9999
vfoi,62080575,Brazil,Parana,NA,9999,9999
vfoi,62083602,Brazil,Mato Grosso,NA,9999,9999
vfoi,62085503,Brazil,Mato Grosso,NA,9999,9999
vfoi,62085659,Brazil,Mato Grosso,NA,9999,9999
vfoi,62089535,Brazil,Mato Grosso,NA,9999,9999
vfoi,62091544,Brazil,Bahia,Camacan,999.9,999.9
vfoi,62099979,Brazil,Espirito Santo,Conceicao Da Barra,9999,9999
vfoi,62100368,Brazil,Mato Grosso,NA,9999,9999
vfoi,62103127,Brazil,Espirito Santo,Santa Teresa,9999,9999
vfoi,62103895,Brazil,Espirito Santo,Nova Venecia,9999,9999
vfoi,62107375,Canada,Manitoba,NA,50567,-96167
vfoi,62107756,Canada,British Columbia,NA,49.2,-1191
vfoi,62108281,Brazil,Mato Grosso,NA,9999,9999
vfoi,62108412,Brazil,Espirito Santo,Santa Teresa,9999,9999
vfoi,62109269,Brazil,Mato Grosso,NA,9999,9999
vfoi,62110982,Brazil,Espirito Santo,Castelo,9999,9999
vfoi,62111762,Brazil,Mato Grosso,NA,9999,9999
vfoi,62112470,Brazil,Mato Grosso,NA,9999,9999
